"ProfileFile","Key","Status","Note"
"customer-template","ASPNETCORE_ENVIRONMENT","OK","Key exists."
"customer-template","ASPNETCORE_URLS","OK","Key exists."
"customer-template","PlantProcess__Auth__SigningKey","MISSING","Required standard key missing."
"customer-template","PLANTPROCESS_ALLOWED_ORIGINS","OK","Key exists."
"customer-template","POSTGRES_APP_DB","MISSING","Required standard key missing."
"customer-template","POSTGRES_HOST","OK","Key exists."
"customer-template","POSTGRES_PASSWORD","MISSING","Required standard key missing."
"customer-template","POSTGRES_PORT","OK","Key exists."
"customer-template","POSTGRES_USER","OK","Key exists."
"customer-template","PPIQ_BOOTSTRAP_ADMIN_PASSWORD","MISSING","Required standard key missing."
"customer-template","PPIQ_BOOTSTRAP_ADMIN_USER","MISSING","Required standard key missing."
"customer-template","PPIQ_DEMO_SOURCES_MODE","OK","Key exists."
"customer-template","PPIQ_MAIN_DB_MODE","OK","Key exists."
"customer-template","PPIQ_RUNTIME_TOPOLOGY","OK","Key exists."
"customer-template","PPIQ_SMOKE_PASSWORD","WARN","Required standard key missing."
"customer-template","PPIQ_SMOKE_USERNAME","OK","Key exists."
"customer-template","VITE_API_BASE_URL","OK","Key exists."
"local","ASPNETCORE_ENVIRONMENT","OK","Key exists."
"local","ASPNETCORE_URLS","OK","Key exists."
"local","PlantProcess__Auth__SigningKey","MISSING","Required standard key missing."
"local","PLANTPROCESS_ALLOWED_ORIGINS","OK","Key exists."
"local","POSTGRES_APP_DB","MISSING","Required standard key missing."
"local","POSTGRES_HOST","OK","Key exists."
"local","POSTGRES_PASSWORD","OK","Key exists."
"local","POSTGRES_PORT","OK","Key exists."
"local","POSTGRES_USER","OK","Key exists."
"local","PPIQ_BOOTSTRAP_ADMIN_PASSWORD","MISSING","Required standard key missing."
"local","PPIQ_BOOTSTRAP_ADMIN_USER","MISSING","Required standard key missing."
"local","PPIQ_DEMO_SOURCES_MODE","OK","Key exists."
"local","PPIQ_MAIN_DB_MODE","OK","Key exists."
"local","PPIQ_RUNTIME_TOPOLOGY","OK","Key exists."
"local","PPIQ_SMOKE_PASSWORD","OK","Key exists."
"local","PPIQ_SMOKE_USERNAME","OK","Key exists."
"local","VITE_API_BASE_URL","OK","Key exists."
"local-example","ASPNETCORE_ENVIRONMENT","OK","Key exists."
"local-example","ASPNETCORE_URLS","OK","Key exists."
"local-example","PlantProcess__Auth__SigningKey","MISSING","Required standard key missing."
"local-example","PLANTPROCESS_ALLOWED_ORIGINS","OK","Key exists."
"local-example","POSTGRES_APP_DB","MISSING","Required standard key missing."
"local-example","POSTGRES_HOST","OK","Key exists."
"local-example","POSTGRES_PASSWORD","MISSING","Required standard key missing."
"local-example","POSTGRES_PORT","OK","Key exists."
"local-example","POSTGRES_USER","OK","Key exists."
"local-example","PPIQ_BOOTSTRAP_ADMIN_PASSWORD","MISSING","Required standard key missing."
"local-example","PPIQ_BOOTSTRAP_ADMIN_USER","MISSING","Required standard key missing."
"local-example","PPIQ_DEMO_SOURCES_MODE","MISSING","Required standard key missing."
"local-example","PPIQ_MAIN_DB_MODE","MISSING","Required standard key missing."
"local-example","PPIQ_RUNTIME_TOPOLOGY","MISSING","Required standard key missing."
"local-example","PPIQ_SMOKE_PASSWORD","WARN","Required standard key missing."
"local-example","PPIQ_SMOKE_USERNAME","OK","Key exists."
"local-example","VITE_API_BASE_URL","OK","Key exists."
"server-docker-example","ASPNETCORE_ENVIRONMENT","OK","Key exists."
"server-docker-example","ASPNETCORE_URLS","OK","Key exists."
"server-docker-example","PlantProcess__Auth__SigningKey","MISSING","Required standard key missing."
"server-docker-example","PLANTPROCESS_ALLOWED_ORIGINS","OK","Key exists."
"server-docker-example","POSTGRES_APP_DB","MISSING","Required standard key missing."
"server-docker-example","POSTGRES_HOST","OK","Key exists."
"server-docker-example","POSTGRES_PASSWORD","MISSING","Required standard key missing."
"server-docker-example","POSTGRES_PORT","OK","Key exists."
"server-docker-example","POSTGRES_USER","OK","Key exists."
"server-docker-example","PPIQ_BOOTSTRAP_ADMIN_PASSWORD","MISSING","Required standard key missing."
"server-docker-example","PPIQ_BOOTSTRAP_ADMIN_USER","MISSING","Required standard key missing."
"server-docker-example","PPIQ_DEMO_SOURCES_MODE","OK","Key exists."
"server-docker-example","PPIQ_MAIN_DB_MODE","OK","Key exists."
"server-docker-example","PPIQ_RUNTIME_TOPOLOGY","OK","Key exists."
"server-docker-example","PPIQ_SMOKE_PASSWORD","WARN","Required standard key missing."
"server-docker-example","PPIQ_SMOKE_USERNAME","OK","Key exists."
"server-docker-example","VITE_API_BASE_URL","OK","Key exists."
"test-example","ASPNETCORE_ENVIRONMENT","OK","Key exists."
"test-example","ASPNETCORE_URLS","OK","Key exists."
"test-example","PlantProcess__Auth__SigningKey","MISSING","Required standard key missing."
"test-example","PLANTPROCESS_ALLOWED_ORIGINS","OK","Key exists."
"test-example","POSTGRES_APP_DB","MISSING","Required standard key missing."
"test-example","POSTGRES_HOST","OK","Key exists."
"test-example","POSTGRES_PASSWORD","MISSING","Required standard key missing."
"test-example","POSTGRES_PORT","OK","Key exists."
"test-example","POSTGRES_USER","OK","Key exists."
"test-example","PPIQ_BOOTSTRAP_ADMIN_PASSWORD","MISSING","Required standard key missing."
"test-example","PPIQ_BOOTSTRAP_ADMIN_USER","MISSING","Required standard key missing."
"test-example","PPIQ_DEMO_SOURCES_MODE","MISSING","Required standard key missing."
"test-example","PPIQ_MAIN_DB_MODE","MISSING","Required standard key missing."
"test-example","PPIQ_RUNTIME_TOPOLOGY","MISSING","Required standard key missing."
"test-example","PPIQ_SMOKE_PASSWORD","WARN","Required standard key missing."
"test-example","PPIQ_SMOKE_USERNAME","OK","Key exists."
"test-example","VITE_API_BASE_URL","OK","Key exists."
