"Gate","Status","Evidence","Action"
"Caddyfile content check","OK","deploy/caddy/Caddyfile is not empty.","No action."
"Demo source compose dry-run config","OK","docker compose config succeeded. Output: C:\Workspace\PlantProcess-IQ\Documentation\deployment\Pack3C_DemoSourcesComposeConfig_Hotfix01_20260604_133920.txt","No action."
"Docker command available","OK","C:\Program Files\Docker\Docker\resources\bin\docker.exe","No action."
"Pack 3A prerequisite","OK","Latest Pack3A gate is green.","No action."
"Pack 3B prerequisite","OK","Latest Pack3B gate is green.","No action."
"Required deployment dry-run asset exists","OK","deploy\caddy\Caddyfile","No action."
"Required deployment dry-run asset exists","OK","deploy\demo-sources\docker-compose.demo-sources.yml","No action."
"Required deployment dry-run asset exists","OK","deploy\server\.env.example","No action."
"Required deployment dry-run asset exists","OK","deploy\server\SERVER_DEPLOYMENT_CHECKLIST.md","No action."
"Required deployment dry-run asset exists","OK","deploy\server\SERVER_DRY_RUN.md","No action."
"Required deployment dry-run asset exists","OK","deploy\server\SERVER_RUNBOOK.md","No action."
"Required deployment dry-run asset exists","OK","scripts\deploy\validate-pack3a-deployment-baseline.ps1","No action."
"Required deployment dry-run asset exists","OK","scripts\deploy\validate-pack3b-server-deployment-manifest.ps1","No action."
"Runtime env files remain untracked","OK","No runtime env files are tracked.","No action."
"Runtime env ignore rule exists","OK","deploy/server/.env","No action."
"Runtime env ignore rule exists","OK","deploy/server/.env.local","No action."
"Runtime env ignore rule exists","OK","deploy/server/.env.production","No action."
"Runtime env ignore rule exists","OK","env/profiles/local.env","No action."
"Runtime env ignore rule exists","OK","Frontend/PlantProcess.Web/.env.local","No action."
"Runtime env ignore rule exists","OK","Website/.env.local","No action."
"Server env example required keys","OK","All required server env template keys exist.","No action."
"Server env example secret hygiene","OK","No unsafe secret-like values found in deploy/server/.env.example.","No action."
